user,link,text,comments,retweets,likes
anniegowen,https://x.com/anniegowen/status/1603071294316199937,NEW: @washingtonpost publisher Fred Ryan refuses to take staff questions after announcing Q1 layoffs in “Town Hall” @postguild https://t.co/C4HOXb6y2C,1099,938,2629
MikeSington,https://x.com/MikeSington/status/1598416439018651648,"Long time anchor Martin Savidge dismissed by CNN as network begins hundreds of layoffs, hitting expensive on-air talent first. https://t.co/e4dXtVRYN9",311,522,1782
screentime,https://x.com/screentime/status/1554899717263282176,"HBO Max is expected to layoff around 70% of their development staff

An insider says it “sounds like they’re not doing HBO Max scripted shows anymore with HBO taking over""

(via @TheWrap) https://t.co/rZWG6dCrW5",431,1079,8315
JoeBiden,https://x.com/JoeBiden/status/1586458855143268352,"The previous president made a string of broken promises in places like Wisconsin, Indiana, and Ohio, where promised investments and jobs in manufacturing never materialized, but layoffs and shuttered factories did. 

Now, Made in America isn't just a slogan. It's a reality.",6504,4408,17435
rsg,https://x.com/rsg/status/1588969950668283905,"I worked at Facebook when we had 200 employees

I’ve never understood why FB needs 20,000 employees. And less so the 70,000 employees Meta has now

@elonmusk’s Twitter layoffs are appropriate

Unfortunate, but appropriate

These businesses just don’t require that many people",3036,6405,83699
ecommurz,https://x.com/ecommurz/status/1571736498982223872,"BREAKING: Sad Monday morning. Shopee layoff is happening. Total laid off not known yet, Kumparan said around 180. 

ShopeeFood/ShopeePay are most impacted.",264,3939,9343
deedydas,https://x.com/deedydas/status/1592214346289274880,"Tech Layoff

Meta - 11k (13%)
Twitter - 3.7k (50%)
Intel - 20%
Snap - 20%
Netflix - 450
Robinhood - 30%
Stripe, Lyft - 13%
Salesforce - 2k
Amazon - 10k

120k+ layoffs. 2000-01 dot com layoffs were ~107k. Q4 layoffs have just begun.
A brutally cold tech winter is coming.",1169,10518,44307
GRDecter,https://x.com/GRDecter/status/1617628497958277120,"Apple is the only major tech company that hasn’t done a big layoff.

Instead the CEO took a $50 million pay cut.",1321,8100,93332
Jim_Jordan,https://x.com/Jim_Jordan/status/1618682356277329921,More layoffs. Joe Biden’s America. https://t.co/nBGS67potA,3336,1394,5597
ClayTravis,https://x.com/ClayTravis/status/1603080894553677826,"The Washington Post, which has lost 500k subscribers in the past year, has announced layoffs are coming to the paper. The meeting didn’t go well. https://t.co/hOoeyI70jj",7945,5833,38616
donnelly_brent,https://x.com/donnelly_brent/status/1522638944554340365,"This is just like 2001. 

First, the stocks crap out. Then the hiring slows. Then the layoffs begin.",255,422,4352
AdeParimal,https://x.com/AdeParimal/status/1627626005182689283,Different kind of layoffs! https://t.co/lpS3tpQljC,56,87,761
arizona_sos,https://x.com/arizona_sos/status/1623064850506330113,"The #AZHouse lifts the #AEL by a 46-14 vote, doing their part to ensure AZ public district schools can spend the dollars allocated to them by the Legislature. We encourage the #AZSenate to follow suit immediately in order to prevent devastating school closures &amp; teacher layoffs. https://t.co/B8tHPRlh0y",11,48,180
HumblyChic,https://x.com/HumblyChic/status/1625532283724742660,"I can’t stay on LinkedIn for too long. Seeing back to back layoffs followed by the exact same companies announcing similar job vacancies is taking a toll on me.

It’s a vicious cycle.",7,63,366
dokasto,https://x.com/dokasto/status/1628820322454540293,"Since these layoffs happened, it's really hard to sell me on anything. Roadmaps, org vision, team strategy, all these things sound like noise. I just want to focus on my work, do a good job, and go home.",33,351,1680
Gizmodo,https://x.com/Gizmodo/status/1630197325317517317,Elon Musk Lays Off Twitter Employee Who Slept on the Floor to Meet His Crazy Deadlines https://t.co/be02Yj13bn https://t.co/ovrrHTqaGs,37,58,206
Variety,https://x.com/Variety/status/1623443052315672576,"Disney will reduce its workforce by 7,000 employees in a bid to cut costs, CEO Bob Iger said. The layoffs are part of Disney’s efforts to achieve about $5.5 billion in cost savings. https://t.co/Fj8bWt2Kx3 https://t.co/WpojK0U66v",20,52,222
Reuters,https://x.com/Reuters/status/1628155226342522880,"McKinsey plans to cut 2,000 jobs in one of its biggest layoffs - Bloomberg News https://t.co/PuqK7Ybx7U https://t.co/2bVQQHPhlZ",44,98,238
Austin_Federa,https://x.com/Austin_Federa/status/1628043370118492161,"Layoffs are hard - especially in this market. 

There's over 181 open jobs in the Solana ecosystem – if you've been impacted please check them out. 

The future is bigger than cross-chain tribalism 
https://t.co/faeU0anTka",11,16,101
DiMartinoBooth,https://x.com/DiMartinoBooth/status/1627336176100048898,"Ladies &amp; gentlemen, I give you consumer trends that “are turning up” b4 worst effects of fast increasing layoffs felt by households

And yes, subprime always leads prime. CEO of Discover Financial already informed us when firm reported Q4 eps that delinquencies had risen to prime https://t.co/QTwyhXC14G",12,28,99
Dexerto,https://x.com/Dexerto/status/1626590346846289922,FaZe Clan’s stock price hit a new all-time low following reports of company layoffs https://t.co/Gz0Bl7vWgk,279,130,8948
owhguild,https://x.com/owhguild/status/1630271011328327681,"One month ago @LeeEntNews gutted our newsroom with layoffs &amp; buyouts in an unprecedented cut of 25% the guild. We're still hurting &amp; struggling to re-organize after these losses, but we're still fighting to bring Nebraskans the news coverage they expect &amp; deserve from @OWHnews https://t.co/bwhWnomdkO",20,55,210
nypost,https://x.com/nypost/status/1627246892093505536,"Migrant hotels in NYC killing business, causing layoffs: merchants https://t.co/sWgi8TznOA https://t.co/mWWbUvfbuO",103,91,348
RealDanODowd,https://x.com/RealDanODowd/status/1629263434314285056,"Hi Folks, I’m sure you’re glad to see I’m back! My account was blocked for four days, allegedly because of a ‘suspicious login’. Maybe this was a fit of pique by @elonmusk over my Super Bowl ad and the NHTSA recall, or maybe it was just the result of all the layoffs at Twitter…",179,43,543
ecommurz,https://x.com/ecommurz/status/1630112589811425280,"After removing their sign from the building weeks ago, earlier today Zenius just announced another round of layoff of 36 out of their 120 team, mainly Tech team 😥

Leaving them with 1 BI, 3 Product, 2 DE, 8 Engineer, 0 DS. Chief of Business also leaving today",70,570,2095
DailyLoud,https://x.com/DailyLoud/status/1628648350257139714,Mark Zuckerberg plans to cut thousands of jobs in massive META layoff. https://t.co/aU1NtnsPs2,68,97,1498
GeorgeGedd,https://x.com/GeorgeGedd/status/1628522576237428737,"There’s been numerous layoffs at The Guard, according to @JakeSucky 

I will try to find out how this affects the VALORANT boys. https://t.co/EUcwOL7QqC",32,42,4200
Forbes,https://x.com/Forbes/status/1627470611109871618,"Meta Ranks Thousands Of Workers As Subpar, Setting The Stage For Potentially More Layoffs https://t.co/1RGj3SD9zz https://t.co/Sh8NLjZ2Un",23,17,57
HUN2R,https://x.com/HUN2R/status/1629201927954395136,"2 days ago everyone here got blindsided with a mass layoff at The Guard 

If you or someone you know are looking for hires, please consider checking out these 29 people. Resumes and Reels will be added as we go

I will be a reference for any of them, reach out https://t.co/EyPNn2geMq",10,282,2322
lisaabramowicz1,https://x.com/lisaabramowicz1/status/1623986713134596097,Apple hasn't enacted the mass layoffs seen at other tech giants in large part because it hired more efficiently during the pandemic. https://t.co/jQEbztPjDi https://t.co/ure4TiCgsg,18,35,235
unusual_whales,https://x.com/unusual_whales/status/1625885394809065473,"Companies are using layoffs to cut new-hire salaries and win back the power they held before the pandemic, per BI.",66,284,1796
Rahll,https://x.com/Rahll/status/1719151257145778543,"Ubisoft literally conducting layoffs this year and last month, and they're posting AI art. Unbelievable.

What the hell is the game industry doing right now. https://t.co/XVbzqcbw9D",283,1812,15169
DJ_Link,https://x.com/DJ_Link/status/1707456697168486902,"let's never forget this is how the great Iwata handled the poor reception of Wii U, not with layoffs, but by cutting his own wage. https://t.co/OjEpdeqczG",307,7583,86556
BeingTerryJane,https://x.com/BeingTerryJane/status/1767313920312631708,"Hey ya'll here's a life update from me. It’s been 7 months post-layoff, navigating this “new job” market which feels like wandering around Lo-Debar. As of today, I've submitted 307 applications, received 159 rejections, 18 interviews down, and 6 I made it to the final round. https://t.co/eKoX3ZDDmo",181,252,4044
Lauramaywendel,https://x.com/Lauramaywendel/status/1713949264336847318,"StackOverflow is laying off 28% of its workforce.

This may be the first large layoff directly due to AI:
&gt; people asking ChatGPT instead of StackOverflow
&gt; usage &amp; ad revenue declines
&gt; having to lay people off to stay profitable / survive https://t.co/tUFJ0Sxwk9",442,1129,5638
TheAnkurTyagi,https://x.com/TheAnkurTyagi/status/1699655002380243231,"I'm really feel disgusted by big tech companies who did layoffs in first half of 2023 and many are now hiring for those same positions while the initial laid off people are still searching for work.

Tech is so brutal, it’s a business for them &amp; You’re just a number.

Discuss. https://t.co/b3oJzFBSA4",409,565,4219
SteveLovesAmmo,https://x.com/SteveLovesAmmo/status/1752440651692564924,"Here are layoffs just announced TODAY:

UPS - 12,000 jobs 
PayPal - over 1,000 jobs 
NASDAQ - 100’s 
America Airlines - 655 jobs 
Wall Street Journal - unknown 

Bidenomics is a crock of shit and everyone knows it.",1748,7323,28282
wendyp4545,https://x.com/wendyp4545/status/1750627630255116521,There are mass layoffs happening and nobody is paying any attention to them.,1235,2144,9664
SteveLovesAmmo,https://x.com/SteveLovesAmmo/status/1752712465744265548,"Here is Biden’s America:

-Banks are crashing.
-Inflation is high.
-Wars are raging.
-Borders are unsecured.
-Billions released to Iran. 
-Food is extremely expensive.
-Illegals are treated better than Veterans.
-Massive layoffs nationwide. 

But no mean tweets!",3852,5143,17161
buccocapital,https://x.com/buccocapital/status/1745781472617722335,"This employee recorded Clouflare dressing up last-in-first-out layoffs as performance firings

While I think it’s crazy she recorded it, I’m proud of her for nailing them to the wall

If you overhire, fucking own it
https://t.co/xFMIHniJ7i",193,423,8481
LarryMadowo,https://x.com/LarryMadowo/status/1680879054889668610,"CNN EXCLUSIVE: Elon Musk's Twitter ""ghosted"" laid off employees in its only Africa office without severance or benefits. 

The Ghana-based team have not been paid a cent, unlike former staff in North America &amp; Europe https://t.co/swQuFn9uk3 https://t.co/BXNKoPZdKx",379,7134,11253
twitgera,https://x.com/twitgera/status/1762580904898334998,I've been going to the gym an hour a day for the past month with the sole purpose of becoming strong enough to kill and eat at least one games industry ceo associated with layoffs this year. This is my story https://t.co/eFK659WUKm,226,2185,40706
randomrecruiter,https://x.com/randomrecruiter/status/1786063575745732791,If your company issues this laptop you don’t have to worry about layoffs https://t.co/N6FYIi2Pss,427,1274,22446
827js,https://x.com/827js/status/1738216674556285330,Layoffs https://t.co/SGX4QLrLRg,533,6163,32604
destinytrack,https://x.com/destinytrack/status/1732423748182257777,"NEW: IGN is reporting that the layoffs at Bungie happened as an “apparent scramble by studio leadership to avoid a total Sony takeover.

“If Bungie falls short of its revenue goals by too great an amount, Sony is allowed to dissolve the existing board and take full control of the company.”",603,796,8234
ciljdw467,https://x.com/ciljdw467/status/1789382955560837538,"I am Korea Feminist. Please Don't ask Korean men about feminism. In South Korea, women who support feminism are targets of cyberbullying. We face daily layoffs and digital sexual assault. In severe cases, assault or even murder. So South Korean women hide their beliefs to survive",258,40694,123831
wendyp4545,https://x.com/wendyp4545/status/1752490016356409744,"Something is going on.  Look at all of the layoffs all over the place all at once.

They can send the illegals home now there aren't any jobs.",290,1351,3406
briandstone__,https://x.com/briandstone__/status/1780033934484525263,"🚨 TESLA LAYOFF NIGHTMARE , Part 2. Did you know that Tesla employees are offered significant incentives to lease a Tesla vehicle? Example, employee leases a Model 3 and is reimbursed a percentage of the lease (40-60%) back on their paycheck. They’re also offered discounts on Tesla insurance. The worst part? Since the “discount” is a reimbursement on your paycheck , once you are laid off it goes away and you’re left paying the full lease payment and since you’re unemployed, how will you swing that? 

This program needs to be overhauled immediately. You can’t fire someone and expect them to pay double their expected lease payment going forward. All other manufacturers offer it as a straight discount and you keep it after separating from your employer (dealer/mfg)",416,447,3425
WallStreetApes,https://x.com/WallStreetApes/status/1779952891454988725,"We Knew This Would Happen. California $20 Fast Food Minimum Wage Increase Causing Mass Layoffs

Papa Johns Pizza employee showing paperwork he was just handed and forced to sign. Everyone will be losing hours and shows Papa Johns will be firing ALL DRIVERS

What a disaster for struggling Americans who need these jobs.",992,2628,5954
randomrecruiter,https://x.com/randomrecruiter/status/1786063575745732791,If your company issues this laptop you don’t have to worry about layoffs https://t.co/N6FYIi2Pss,427,1274,22445
ciljdw467,https://x.com/ciljdw467/status/1789382955560837538,"I am Korea Feminist. Please Don't ask Korean men about feminism. In South Korea, women who support feminism are targets of cyberbullying. We face daily layoffs and digital sexual assault. In severe cases, assault or even murder. So South Korean women hide their beliefs to survive",258,40694,123782
NoseOfDeath,https://x.com/NoseOfDeath/status/1787887770934870195,"A big fuck you to Embracer and Take Two also.

Some say Nintendo but I only see them fuck with the fans, not there studios. Which still isn't good of course but that's the point if my tweet.

Layoffs and shutting down studios doesn't happen there or at least it rarely does.",21,62,1732
twobitidiot,https://x.com/twobitidiot/status/1787780464503066782,"The SEC and its mission are important:

+ protect investors &amp; punish fraud
+ promote capital formation in America
+ ensure markets are fair &amp; efficient

But its core has rotted, and it needs radical reform: layoffs, restructuring, rebuilding.

I will help when the time comes.",38,22,303
GameofTrades_,https://x.com/GameofTrades_/status/1781331921471214045,"Savings are now depleted

And layoffs are sharply rising

H2 2024 - Recession is very likely https://t.co/PsG0pivutZ",31,187,819
GamesByKinmoku,https://x.com/GamesByKinmoku/status/1787846029238272029,MORE layoffs?! https://t.co/J2Mc6cJMTs,9,1630,11457
Mangalawyer,https://x.com/Mangalawyer/status/1787990446955724934,"Iwata bro cut his salary by almost half to prevent layoffs. 

You go and demand one of these stunning and brave Xbox executives, like Phil Spencer or Sarah Bond, to cut 20% of their salary in the name of diversity, and they will send Doom Guy to your house, lmao. https://t.co/uH1xR98ODa",85,425,2326
FudBos,https://x.com/FudBos/status/1787782694442824079,"Tesla taking a plunge on layoffs and good China numbers (11K vs 10K exp). $170s here we go! 

Still trading at a ridiculous &gt;70X P/E.

Stock was at $140s before the disastrous Europe April numbers. It seems only fair we go back.

Wen 140?
👇 https://t.co/HrSJEbHXhd",13,9,45
heelvsbabyface,https://x.com/heelvsbabyface/status/1787896297745248444,"Sony backs down, Microsoft make major layoffs, big ""AAA"" games are making no where near their budgets, 100's of millions of $$ lost.. The Western Gaming industry is in crisis and it isn't looking to change its course either.

I know a guy that had a rant about that last September..",62,78,793
Consensys,https://x.com/Consensys/status/1784603723844727144,"If the SEC succeeds in designating ether as a security, companies and developers would see years of work squandered and billions of dollars of economic value destroyed that could potentially lead to widespread layoffs of American workers.

For more:
https://t.co/DKhQDSKOhT",199,153,780
smunrokray,https://x.com/smunrokray/status/1787580149245833256,"Concerning Sandy’s rant on Tesla’s layoffs and the continuing news flashes, I have to say that running a business is not about being nice.  It is about doing the right thing.   Welcome to reality.",55,48,697
randomrecruiter,https://x.com/randomrecruiter/status/1787829571099722171,"Layoffs are being announced seemingly every day.

This will keep happening as long as 1. interest rates stay high and 2. companies continue to prioritize/maximize revenue per employee.

Take this as your sign to start working on your Plan B.

Upskilling, networking, passively interviewing, emergency fund etc all viable options.",42,44,244
beaniemaxi,https://x.com/beaniemaxi/status/1785120810484580379,"Wait, what?🤷

You can’t just reverse CC0.😂

I imagine the recent layoffs included the entirety of the Yuga legal department.🤦‍♀️ https://t.co/GcPJTR3wJG",58,22,376
PaweSasko,https://x.com/PaweSasko/status/1787844440012255319,"I'm so incredibly sad hearing about another devastating layoffs in the industry. We have some openings, both in North America and Poland, please take a look my chooms and share it with anyone who is affected 🥺

https://t.co/p9zlUlufra",26,244,2200
28delayslater,https://x.com/28delayslater/status/1785322833989730375,The layoffs continue https://t.co/cs292Qqbwu,100,51,934
TucsonStar,https://x.com/TucsonStar/status/1787925383494467738,"Amid layoffs, U of A is considering creating new senior leadership position https://t.co/o6U0E8i6vJ",6,9,16
PC_Nation__,https://x.com/PC_Nation__/status/1788901780698390570,"&gt;defeats piracy
&gt;countless layoffs, games flopping, and companies being shuttered https://t.co/0OFVQ3OVmV",18,47,393
grethermurrayt,https://x.com/grethermurrayt/status/1788972718915751938,"Just got word that my fall tesla internship on the battery manufacturing eng team was cancelled due to layoffs. I'm a mechatronics student at uwaterloo, if anyone is looking for a mechanical/robotics position, let's chat! down to grind on the most ambitious ideas :) https://t.co/wi74lMRJbu",23,18,243
live_munro,https://x.com/live_munro/status/1787539088163172560,Sandy's take on the @Tesla Layoffs! https://t.co/piaf5ZDpeA,276,363,1936
GameofTrades_,https://x.com/GameofTrades_/status/1781331921471214045,"Savings are now depleted

And layoffs are sharply rising

H2 2024 - Recession is very likely https://t.co/PsG0pivutZ",31,187,819
GamesByKinmoku,https://x.com/GamesByKinmoku/status/1787846029238272029,MORE layoffs?! https://t.co/J2Mc6cJMTs,9,1630,11457
petesunitedPOV,https://x.com/petesunitedPOV/status/1788118553704460763,"I think Amad is a good young player and definitely a talent!

But I don’t get the outrage when he doesn’t start though, he’s just come off a long injury layoff.

He also hasn’t set the world alight in his cameos other than the Liverpool goal!

But for some reason he’s being treated as the second coming of Messi!

I wish him well I really do but I don’t like how he’s been used as another excuse to hate on the manager 

#GlazersOut",136,27,361
randomrecruiter,https://x.com/randomrecruiter/status/1787829571099722171,"Layoffs are being announced seemingly every day.

This will keep happening as long as 1. interest rates stay high and 2. companies continue to prioritize/maximize revenue per employee.

Take this as your sign to start working on your Plan B.

Upskilling, networking, passively interviewing, emergency fund etc all viable options.",42,44,244
Mangalawyer,https://x.com/Mangalawyer/status/1787990446955724934,"Iwata bro cut his salary by almost half to prevent layoffs. 

You go and demand one of these stunning and brave Xbox executives, like Phil Spencer or Sarah Bond, to cut 20% of their salary in the name of diversity, and they will send Doom Guy to your house, lmao. https://t.co/uH1xR98ODa",85,425,2326
FudBos,https://x.com/FudBos/status/1787782694442824079,"Tesla taking a plunge on layoffs and good China numbers (11K vs 10K exp). $170s here we go! 

Still trading at a ridiculous &gt;70X P/E.

Stock was at $140s before the disastrous Europe April numbers. It seems only fair we go back.

Wen 140?
👇 https://t.co/HrSJEbHXhd",13,9,45
NoseOfDeath,https://x.com/NoseOfDeath/status/1787887770934870195,"A big fuck you to Embracer and Take Two also.

Some say Nintendo but I only see them fuck with the fans, not there studios. Which still isn't good of course but that's the point if my tweet.

Layoffs and shutting down studios doesn't happen there or at least it rarely does.",21,62,1733
gamedevdotcom,https://x.com/gamedevdotcom/status/1788152301284208914,"EA reports annual net revenues of $7.56 billion amid layoff spree

Long-serving CEO Andrew Wilson claimed the company has built ""strong momentum"" just months after cutting 5 percent of jobs

https://t.co/9eyFn3IkYk https://t.co/92xTvzAm3W",10,38,92
Carnage4Life,https://x.com/Carnage4Life/status/1784450545509658867,"Google has laid off their Python Foundation team and asked them to train their replacements who will be in the Munich office.

This is similar to layoffs in their finance department a few weeks ago where some positions were moved outside the country where they’re cheaper. 😬 https://t.co/tVBh1dWLli",78,407,2061
twobitidiot,https://x.com/twobitidiot/status/1787780464503066782,"The SEC and its mission are important:

+ protect investors &amp; punish fraud
+ promote capital formation in America
+ ensure markets are fair &amp; efficient

But its core has rotted, and it needs radical reform: layoffs, restructuring, rebuilding.

I will help when the time comes.",38,22,303
heelvsbabyface,https://x.com/heelvsbabyface/status/1787896297745248444,"Sony backs down, Microsoft make major layoffs, big ""AAA"" games are making no where near their budgets, 100's of millions of $$ lost.. The Western Gaming industry is in crisis and it isn't looking to change its course either.

I know a guy that had a rant about that last September..",62,78,793
pirateidiot,https://x.com/pirateidiot/status/1788547581330543044,I #DontStreamOnMax because they’d rather layoff their workers than consider cutting their CEO’s exorbitant salary. https://t.co/EJpyI1s4RP,28,130,397
EpochTimesPrint,https://x.com/EpochTimesPrint/status/1789452422517022915,"California currently leads the nation in job losses, with a recent wave of layoffs particularly hitting the tech sector hard.

𝗡𝗲𝗮𝗿𝗹𝘆 𝗮 𝗺𝗶𝗹𝗹𝗶𝗼𝗻 𝗖𝗮𝗹𝗶𝗳𝗼𝗿𝗻𝗶𝗮 𝗿𝗲𝘀𝗶𝗱𝗲𝗻𝘁𝘀 𝗮𝗿𝗲 𝗻𝗼𝘄 𝗷𝗼𝗯𝗹𝗲𝘀𝘀.

https://t.co/a9jW8M5cZK",6,25,56
smunrokray,https://x.com/smunrokray/status/1787580149245833256,"Concerning Sandy’s rant on Tesla’s layoffs and the continuing news flashes, I have to say that running a business is not about being nice.  It is about doing the right thing.   Welcome to reality.",55,48,697
PC_Nation__,https://x.com/PC_Nation__/status/1788901780698390570,"&gt;defeats piracy
&gt;countless layoffs, games flopping, and companies being shuttered https://t.co/0OFVQ3OVmV",18,47,393
Gizmodo,https://x.com/Gizmodo/status/1788298988418212159,Tesla Quietly Removes All U.S. Job Postings https://t.co/JFJl4Cu1AS https://t.co/fw4purI9mF,10,32,85
Carnage4Life,https://x.com/Carnage4Life/status/1787507381930508380,"Tesla is on its fourth week of announcing layoffs and it’s such a rough way to execute layoffs where each week people find out if their jobs are safe and if so, they get to go through the experience again next week until 10% of the company is gone. https://t.co/h7fxsCqnxF",41,91,521
MorePerfectUS,https://x.com/MorePerfectUS/status/1782826519439765787,"Elon Musk is conducting a mass layoff of nearly 2,700 employees at Tesla's Austin gigafactory.

Texas gave him $64 million in tax incentives to build this facility where he exploits Tesla workers.

Now, he's cutting jobs. https://t.co/2EXZV85lLJ",152,1771,3773
deedydas,https://x.com/deedydas/status/1785859150674899415,"In the last 20yrs, ""study CS and work in tech"" became a ""path"" to wealth

Now:
—BigTech did layoffs, aren't hiring
—Tech job postings are ~40% of '21
—Startups often prefer tenured hires
—Huge pipeline of CS majors: 40% of MIT

Winter is coming for software engineering.
🧵

1/5 https://t.co/VPU6WWuTTl",179,609,5052
grethermurrayt,https://x.com/grethermurrayt/status/1788972718915751938,"Just got word that my fall tesla internship on the battery manufacturing eng team was cancelled due to layoffs. I'm a mechatronics student at uwaterloo, if anyone is looking for a mechanical/robotics position, let's chat! down to grind on the most ambitious ideas :) https://t.co/wi74lMRJbu",23,18,243
FluentInFinance,https://x.com/FluentInFinance/status/1789733809212006781,"Never let a job steal your life.

Layoffs this year:

• UPS: 12,000
• Meta: 11,000
• FedEx: 12,000
• Google: 12,000
• Amazon: 27,000 
• Walmart: 12,000
• Citigroup: 20,000
• Microsoft: 10,000 

Job security is an illusion.

Never feel guilty about leaving your job for a better opportunity.",268,4899,28807
TheVTran,https://x.com/TheVTran/status/1787900290428985728,"We lose so much to layoffs - people, ideas, solidarity, knowledge, motivation, trust, and overall well-being. Heartbroken for everyone affected. 🫂",8,156,1370
deedydas,https://x.com/deedydas/status/1785859150674899415,"In the last 20yrs, ""study CS and work in tech"" became a ""path"" to wealth

Now:
—BigTech did layoffs, aren't hiring
—Tech job postings are ~40% of '21
—Startups often prefer tenured hires
—Huge pipeline of CS majors: 40% of MIT

Winter is coming for software engineering.
🧵

1/5 https://t.co/VPU6WWuTTl",179,609,5052
Gizmodo,https://x.com/Gizmodo/status/1788298988418212159,Tesla Quietly Removes All U.S. Job Postings https://t.co/JFJl4Cu1AS https://t.co/fw4purI9mF,10,32,85
ana0216h,https://x.com/ana0216h/status/1790131655773933989,"Sadly I have been impacted by the layoffs here at Square Enix.
Thank you for 2 wonderful years full of experience,  growth, &amp; trust. This was my childhood dream to be here. Please let me if you're looking for a gaming/entertainment analyst 🫶🥹! Thank you everyone ✨️🙏 https://t.co/ioGdLiIzdR",136,396,3121
Carnage4Life,https://x.com/Carnage4Life/status/1788069848511369290,My reaction when I read about yet another round of layoffs from a company that made billions in profits last quarter https://t.co/QnjvgfOvu6,12,67,530
Carnage4Life,https://x.com/Carnage4Life/status/1788417237570961875,Microsoft really spent $68.7B acquiring Activision only to realize their gaming division is now too big and costly so now they’re doing layoffs every quarter 🤦🏾‍♂️ https://t.co/Am7vSvMdON,18,91,444
LaurenWalshArt,https://x.com/LaurenWalshArt/status/1788276544072269924,"Congratulations on capturing the mood of being a creative right now as we are all crushed under the weight of capitalism &amp; c-suite executives push for mass layoffs, wipe shows from platforms, &amp; mass theft never seen before in the history of humanity

You nailed it. Good job. 👍🏻",23,1268,6722
Molson_Hart,https://x.com/Molson_Hart/status/1788348165122302380,"What I thought a recession would be like:

- ""omg my competitor is going bankrupt and is for sale for $10""
- layoffs everywhere
- market crashing
- stressful but exciting

What this recession has been like:

- every bankrupt competitor gets bought up by deep pocketed PE or is able to refinance
- few layoffs in the market; I spend a ton of time filling my team's' time because I don't want to lay them off
- market at all time highs
- boring but exhausting because i'm trying to grow our way out of falling sales",35,13,272
aspenanimation,https://x.com/aspenanimation/status/1789769661829013852,"I got tired of the layoffs in the industry so I am creating my own indie animation studio. 

If you like indie animation, give us a retweet and a follow! https://t.co/ir7wXsad6I",24,269,871
MegZavala,https://x.com/MegZavala/status/1787933811013283912,"I wonder if these execs realize how much these layoffs create a rippling effect through the creative industries? An unstable atmosphere doesn’t just affect those impacted directly, EVERYONE feels the drop in morale. Work across the board suffers no matter where you are",14,110,1071
HardDriveMag,https://x.com/HardDriveMag/status/1787913516797804563,Geoff Keighley Announces Best Layoffs Category for Game Awards https://t.co/4IIuA0vwPh,123,4890,34103
ABC,https://x.com/ABC/status/1790051858930704859,"School districts are bracing for a massive round of teacher layoffs as the school year ends.

Declining enrollment, inflation, and the $190 billion in pandemic relief funds that are set to expire are pushing some school districts to the brink.  https://t.co/LgQGywSI8I https://t.co/t4rbIps8Yo",24,18,30
MTDems,https://x.com/MTDems/status/1790146320138969437,"RiverStone Health, the state’s largest community health center, lost more than $3 million in Medicaid revenue, forcing layoffs of 9% of its workforce. Remember when @GovGianforte said his hasty and callous Medicaid purge was “working as intended”? #mtpol
https://t.co/G9Pc4eFg5x https://t.co/D120WCG5YP",7,32,42
Carnage4Life,https://x.com/Carnage4Life/status/1789826768188092626,"I used to advise people to carefully understand the business model of a startup before joining since it’s easy to be blinded by stock options to the fact the business isn’t viable.

2024’s made a mockery of that advice as even the most profitable tech companies are doing layoffs.",7,35,264
MegumiBandicot,https://x.com/MegumiBandicot/status/1788607415765573831,It’s pretty depressing how 2023 was such a grand year for gaming and then 2024 is just layoffs after layoffs.,9,8,78
CaponeToneTony,https://x.com/CaponeToneTony/status/1787884898834899411,"Nintendo did everything they could to avoid layoffs during the WiiU era. Iwata even slashed his own salary multiple times, and now they're doing better than ever. 
I hope Nintendo just keeps ignoring what the rest of the industry is doing and just continues to make great games",162,1504,17830
ordinarygirl1,https://x.com/ordinarygirl1/status/1788721850941673971,"Temporary workers at the GM facility in Burton, Michigan were told they are no longer needed.

Some employees even said that they didn't know that their position was temporary.

That's just Bidenomics . Thanks to Joe the auto business is not doing well, expect more layoffs. https://t.co/hgg2O1qpQ0",10,91,77
Carnage4Life,https://x.com/Carnage4Life/status/1784450545509658867,"Google has laid off their Python Foundation team and asked them to train their replacements who will be in the Munich office.

This is similar to layoffs in their finance department a few weeks ago where some positions were moved outside the country where they’re cheaper. 😬 https://t.co/tVBh1dWLli",78,407,2061
Stealth40k,https://x.com/Stealth40k/status/1790100066356617649,"I'm sad to hear about the US/EU layoffs at Square Enix. 

Everyone I've ever worked with there has been extremely nice. They really don't deserve this. 

I hope everyone impacted is able to find a new job quickly.

Source: https://t.co/SZDnlpo0tp https://t.co/5h5c4bCpTg",11,46,419
GuyDealership,https://x.com/GuyDealership/status/1771016530500739439,"BREAKING:

Stellantis, the parent company of Chrysler, Jeep, Dodge, Ram, is sending notices to its employees about a “mandatory remote work day” on Friday.

The reason?

Your guess is as good as mine, but a notice like this (on a Thursday) could potentially signal layoffs.

Zooming out…

Stellantis has struggled with weak sales—more than any other car brand—in light of a cooling new car market.

I’ll keep you posted.",438,529,3903
SenJeffMerkley,https://x.com/SenJeffMerkley/status/1769071760576594287,"I joined Senate colleagues in demanding that Postmaster Louis DeJoy immediately stop any changes to @USPS standards that would cause layoffs and further degrade postal service, especially in rural areas.
https://t.co/Ibi4zKif9k",556,2684,7320
