user,link,text,comments,retweets,likes
0xMert_,https://x.com/0xMert_/status/1628400571186118692,"This is gross

You wanna know how classless Sandeep is?

On the day he announces layoffs of 100 people - he celebrates a post about Solana Spaces shutting down and calling it a gimmick (presumably on his alt btw). He is the only like on this post 🤔

Truly shameless https://t.co/m74lau8p6J",37,36,282
p_millerd,https://x.com/p_millerd/status/1627549461214789633,"A 1.5 hour 3x a week commute tips the scales for someone with $6.5m net worth to finally consider quitting. 

Also given it wasn’t remote pre pandemic I wonder if these companies are just using return to office as a commitment device and way of doing indirect layoffs https://t.co/SlqF4deOX8",14,31,812
deepinthebuild,https://x.com/deepinthebuild/status/1616386262549827584,wow fuck me I just got laid off. Mass layoffs happening at Google apparently.,353,667,10256
unusual_whales,https://x.com/unusual_whales/status/1590456870594293760,"BREAKING: Mark Zuckerberg's video of $META layoffs has been leaked.

Here it is below.

""I want to say, upfront, that I take full responsibility."" https://t.co/5cJL3eEudS",890,1465,7021
ecommurz,https://x.com/ecommurz/status/1602557722955845632,"BREAKING: Layoff happening today in https://t.co/mpsXsqzBrk after 11 minutes townhall earlier today. Team suddenly instructed to work from home this week. Those who stay (announced via email) have to return again to office next week.

Rumors said around 50-85% impacted.",445,3509,8131
adamnash,https://x.com/adamnash/status/1586540735855136768,"Brutal, if true. 😳

https://t.co/epZZuLyhzJ https://t.co/0P9kpRVPOg",461,284,4677
ruchowdh,https://x.com/ruchowdh/status/1588365045158727681,Has it already started? Happy layoff eve! https://t.co/0AcaQjGJvm,1069,4330,82143
williampietri,https://x.com/williampietri/status/1591502124977950720,I want to dig in for a bit on this set of Slack replies from a Twitter manager talking about undoing some of the layoffs. https://t.co/WMBB0kdXOi,361,4957,26217
JPMorinChase,https://x.com/JPMorinChase/status/1628389897861050368,Tech layoffs aren’t over yet. https://t.co/URFeajXSX3,55,215,4045
zerohedge,https://x.com/zerohedge/status/1577472100729765895,Mass @twitter layoffs coming https://t.co/pQuGzojnu1,233,1044,6122
varungandhi80,https://x.com/varungandhi80/status/1491631650333421569,"A push for privatisation (of ~350 PSUs, with 10.3 lakh employees) is a push for layoffs, without a firm sense of job creation in a fragile economy. To scale-up and reform PSUs could be a better alternative.

My article in @the_hindu today.

https://t.co/LQnbVFJQ3K https://t.co/RFQPRhlEbA",277,1629,4664
lucasmtny,https://x.com/lucasmtny/status/1521974056991354880,Lol I’m sorry but you gotta at least temporarily change the bored ape avatar when you tweet out that your startup is making layoffs https://t.co/fOzRo1A0H4,126,795,14005
zerohedge,https://x.com/zerohedge/status/1536689435487641601,"We are about to see a tsunami of mass layoff announcements. This table is about to be dozens of pages long. By Aug, we will have negative payrolls https://t.co/4OBxn4pIoA",268,1663,4396
Carnage4Life,https://x.com/Carnage4Life/status/1532873872952807424,This should be in the Hall of Fame of worst emails to send about a layoff especially if you didn’t execute it that day. https://t.co/bPfEwDLGxs,144,441,5587
ecommurz,https://x.com/ecommurz/status/1602557722955845632,"BREAKING: Layoff happening today in https://t.co/mpsXsqzBrk after 11 minutes townhall earlier today. Team suddenly instructed to work from home this week. Those who stay (announced via email) have to return again to office next week.

Rumors said around 50-85% impacted.",445,3509,8130
unusual_whales,https://x.com/unusual_whales/status/1628898963087851521,The tech layoffs continue: https://t.co/NIhFGpleJr,144,841,6627
DiscussingFilm,https://x.com/DiscussingFilm/status/1554898759196315648,"HBO Max is expected to layoff around 70% of their development staff.

“Sounds like they’re not doing HBO Max scripted shows anymore with HBO taking over, so less scripted shows overall,” says one company insider.

(Source: https://t.co/chpATO2xGO) https://t.co/PYjsbgyZpO",912,2662,14677
POTUS,https://x.com/POTUS/status/1585677810961711104,"My predecessor made a string of broken promises in places like Wisconsin, Indiana, and Ohio – where promised investments and jobs in manufacturing never materialized, but layoffs and shuttered factories did.

On my watch, we keep our commitments. https://t.co/aqJWfAlUdD",2053,4359,12571
Austen,https://x.com/Austen/status/1592313470498017281,"Compare the New York Times treatment of:

1. Coinbase having layoffs.

2. FTX defrauding customers, going bankrupt, and disappearing ~$10 Billion of other peoples’ money. https://t.co/Mt4AWPOot8",384,1397,8678
profplum99,https://x.com/profplum99/status/1630376162030678020,Layoffs rising (increase in rate) faster than pre-Lehman https://t.co/PEQyo5rIzt,57,229,1075
jcj,https://x.com/jcj/status/1616482322278420481,"It's hard for me to believe that after 20 years at #Google  I unexpectedly find out about my last day via an email. What a slap in the face. I wish I could have said goodbye to everyone face to face.
 #layoffs",1024,2831,40690
unusual_whales,https://x.com/unusual_whales/status/1590456870594293760,"BREAKING: Mark Zuckerberg's video of $META layoffs has been leaked.

Here it is below.

""I want to say, upfront, that I take full responsibility."" https://t.co/5cJL3eEudS",890,1465,7013
RahulDesignWeb3,https://x.com/RahulDesignWeb3/status/1628410632407224328,"I was one of the people affected by the recent layoff at @0xPolygon 🖤

Now what?

Here’s what... https://t.co/LNv4lTUBmN",92,52,599
HugeCryptoWs,https://x.com/HugeCryptoWs/status/1618233319610802176,“Day in my life” tiktokers now getting laid off https://t.co/MMCE8l8g4V,53,136,3091
PR0GRAMMERHUM0R,https://x.com/PR0GRAMMERHUM0R/status/1624272039463862274,QA team laid off with 0 severance https://t.co/xVcee164pS https://t.co/XJZB3DapIU,11,84,830
hvgoenka,https://x.com/hvgoenka/status/1620086965537472514,A laid off techie….this is so funny @AiyyoShraddha https://t.co/uIlVwHeX21,303,2141,10072
HarlemJ11,https://x.com/HarlemJ11/status/1629348715805679620,"🎈 🎈 🎈 on my page today. #50

Y'all, my mama made me cry yesterday.

She asked me if I ever wondered why there are no baby photos of me. And I said no.

""We had no money. Your dad was laid off work and we had been evicted. We were living with friends. I cleaned houses right after yoylu were born to help out. That's why I only have this one baby picture of you on the green bedspread at someone else's house. We didn't even have a crib for you.""

""Now look at you, 50 and a CEO. Can't nobody tell me that God ain't good.""

She is right. God is good. All the time.",116,13,413
flynanced,https://x.com/flynanced/status/1630613598450991114,here’s where my paycheck went as a recently laid off 9-5 hottie #salarytransparency https://t.co/oIhmA97n83,29,131,1701
sandhill_mkts,https://x.com/sandhill_mkts/status/1629886130161156098,"Middle manager at Meta making $550k/year is upset that they may get laid off and will no longer be on track to make $1m/year.

It's time for Mark to fire all middle management https://t.co/nQG4wLRP89",258,247,3414
Cory_nV,https://x.com/Cory_nV/status/1627832433063206914,"So I guess this is goodbye.... After over a decade of service to Envy, Fuel, and optic I am announcing that I, Like many others, have succumbed to being laid off and I am no longer a part of the organization. There has been a lot to unpack, so pardon me as I ramble for a bit. https://t.co/CFPESJnSO6",76,55,2696
TheCartoonCrave,https://x.com/TheCartoonCrave/status/1623467723186479105,"Announced at Disney today:

- Toy Story 5
- Frozen 3 
- Zootopia 2
- 7,000 workers to be laid off
- 2.5M Disney+ subscribers lost https://t.co/KtyHpUtrkm",316,1371,9476
Carnage4Life,https://x.com/Carnage4Life/status/1627605892316164096,A day in the life of a laid off TikTok employee as they steal snacks &amp; office supplies on their last day. https://t.co/O3cdRXA7kv,54,74,1141
KtHUSTLES,https://x.com/KtHUSTLES/status/1626698505573093382,"Two years ago I got laid off my job at a dealership and started selling on Amazon.

Today I just bought a Lamborghini Urus. 
Anything is possible when you put the work in.. I remember when I didn’t have a dollar to my name https://t.co/iA1RjxWHj1",94,80,2057
ArielCreate,https://x.com/ArielCreate/status/1628533785762598912,"Moved here two days ago and now everyone is laid off LMAOOO what a fucking joke.

@hollywoodparkca you have the most disgusting HR department. Security was trying to detain me for simply trying to backup important files on my laptop.

Also does know how to get out of 19 lease? https://t.co/SQDaOQBtof",106,233,8797
alphaINTEL,https://x.com/alphaINTEL/status/1630639358775574530,"Today, EA laid off 200+ Apex Legends Quality Assurance testers via a Zoom Call, @Kotaku reports. https://t.co/LPZqvPLK4x",323,513,8112
slaterdesign,https://x.com/slaterdesign/status/1617579740973641730,"Since being laid off, I wish healthcare was more affordable and accessible rather than a perk tied to a job.",226,1196,12823
theeblackusagii,https://x.com/theeblackusagii/status/1625174680460992514,YALL I JUST GOT LAID OFF IM FUCKING SCREAMING,45,223,5512
Steph_Gaither,https://x.com/Steph_Gaither/status/1618811351027294209,what are all the companies that laid off a ton of Black people and DEI leads gonna do on Feb 1st 👀,88,586,3215
TheFullForce,https://x.com/TheFullForce/status/1623007804826038308,"Very sad to hear that Sculpt Manager, Cory, was laid off by Hasbro this morning. It’s a huge blow as Cory helped make the Joe brand a success again. We want to wish him all the luck in the future, we all know you will kick ass in whatever you choose to do! https://t.co/xIUHiCyv0x",51,46,391
loratliff,https://x.com/loratliff/status/1618780297788805120,"Today, I was one of the 274 people laid off @dotdashmeredith, while working on a yacht in the BVI—now that's a travel editor first! If anyone is looking for an edit lead with 10+ years experience or a freelance writer/editor for any projects, I'm your gal. lauraoratliff@gmail.com https://t.co/Pjq0v2eIEe",40,33,232
iamsamcodes,https://x.com/iamsamcodes/status/1626632869153218560,"It’s been a rough week… I got laid off from a job I really enjoyed. I am grateful for the team I had and everything I was able to learn. 

If anyone knows of anyone hiring for these roles, please reach out. 

- DevRel
- Designer/UX/UI
- Social Media/Community
- Jr. frontend dev",59,88,359
KerrieLake,https://x.com/KerrieLake/status/1625196771889623045,"Unfortunately, I was part of the Twilio layoffs today. I'm so happy to have been able to work on TwilioQuest these past three years and with such an amazing team. 

If you know anyone looking to hire a pixel artist:
https://t.co/XC1s5NgTsh https://t.co/0sqbopo8ps",21,174,858
JonLamArt,https://x.com/JonLamArt/status/1624226377959604225,"This is extremely important. Google is preparing to throw creators under the bus in favor of scraped content. Google's mass layoffs were only step 1
 Credit to https://t.co/yNc8PPOwdX
1/3 https://t.co/D62UGPxFTe",22,776,1995
VicVijayakumar,https://x.com/VicVijayakumar/status/1628744526662705156,"Return to Office is largely a way to do layoffs without calling it that.

High performers / hard to hire roles almost always get exceptions.

I can’t tell you how many times a recruiter will contact me about a role that isn’t remote, I say I’m not going in, then this happens. https://t.co/v1pXF4G3vy",15,95,929
saxena_puru,https://x.com/saxena_puru/status/1628580648754778112,"US mortgage applications have collapsed - 

- Lowest level of buyer demand in 28 YEARS 
- Lower than the depths of the 2008 housing crash 

Only a matter of time before real-estate layoffs explode! https://t.co/3JniyVIvVb",87,191,1001
Investingcom,https://x.com/Investingcom/status/1626455835621703681,"*APPLE HAS BEGUN FIRING CONTRACTORS AMID MASS TECH LAYOFFS - NY POST 

$AAPL https://t.co/rakb4xLJ0A",10,62,300
SinghLions,https://x.com/SinghLions/status/1628777296407711744,"Bole So Nihal - Sat Sri Akal 🙏🏻

Mastercard CEO Sardar Ajay Singh Banga to be the next president of the WORLD BANK: President @JoeBiden 

When #COVID19 hit, Ex- @Mastercard CEO, Ajay Banga, made a promise to 19,000 employees: There would be no layoffs as a result of the virus! https://t.co/2QhGGeIdwy",18,73,528
karrisaarinen,https://x.com/karrisaarinen/status/1623857893090152448,"When Microsoft leadership feels like GitHub layoffs are not bad enough, they have to increase the pain by forcing people to use MS Teams on their 4y old laptops. https://t.co/TJrk8kKe01",27,49,385
ThePhat,https://x.com/ThePhat/status/1628092534831341570,"Unfortunately, this past week was my last at Immortals due to the recent round of layoffs. I am grateful for the experience and the amazing people I worked with while there.

Moving forward, I'm open to new opportunities in brand partnerships, marketing, and event activations! https://t.co/WgPY3I8CPy",25,28,193
masonegger,https://x.com/masonegger/status/1626231150091046912,"I thought I was pissed about the @digitalocean layoff yesterday, but then I read the earnings call from this morning. Here's the highlights.

* Revenue grew 34% YOY last year🤔
* Approval to buy back 500 million stock
* Already bought back 600 million worth of stock last year",75,476,2938
NDP,https://x.com/NDP/status/1625224821461098514,"The Rogers-Shaw merger will make our cell and internet bills more expensive.

It'll mean less competition. 

And more layoffs.

This move isn't good for Canadians — it'll only help telecoms firms already making huge profits.

We must stop the Rogers-Shaw merger. https://t.co/eFKm2xnrmb",160,133,579
Carnage4Life,https://x.com/Carnage4Life/status/1627816342588997635,"Life in big tech is all about coworkers with first world problems. Like this director whose net worth is $6.5M and was going to work there until worth $10M but is now considering quitting due to WFH mandates.

As I’ve mentioned before, WFH mandates are stealth layoffs. https://t.co/SMsH5avWl5",96,177,2682
growing_daniel,https://x.com/growing_daniel/status/1629153819266523137,Tech PMs are still making day in the life videos after the layoffs https://t.co/iUzlTJ1AEh,195,174,3793
SaniacSquirrel,https://x.com/SaniacSquirrel/status/1628387365256585216,"This guy has been the most divisive president in U.S. history and now he wants support on his failed foreign policy ! 

#BreakingNews #layoffs Blizzard Warning, World War III #DefundtheBBC #TrumpIsALaughingStock #media #stockmarketcrash #MorningJoe #Buttigieg Ukraine, Putin https://t.co/VbOrqmzb1S",355,283,1138
0xSisyphus,https://x.com/0xSisyphus/status/1628030432481538054,"Matic raised $450 million in cash just about one year ago so they were burning $200m a year prior to layoffs. 

They just publicly said they have $250m left… maybe 18 months of runway if they sell no tokens",127,86,1068
RBReich,https://x.com/RBReich/status/1626771231654674435,"Unionized rail workers warned of a “ticking time bomb.”

They called out mass layoffs and overburdened workers.

They watched in horror as safety regulations were blocked.

Now toxic chemicals from Ohio's train derailment could poison the area for years. https://t.co/sBqa4dzA3H",508,3505,9347
TheAVClub,https://x.com/TheAVClub/status/1623475782403366912,"Disney announces Toy Story 5, Frozen 3, Zootopia 2, and 7,000 layoffs https://t.co/NkwqFuwSWv https://t.co/ROj1eVt7Ml",178,2343,13937
ecommerceshares,https://x.com/ecommerceshares/status/1623689756222582785,"$DIS Another reorg + 7k layoffs. Parks still printing money like crazy &amp; now make up 100% of Disney’s operating income! 😳 Media just a break-even biz, even with streaming shrinking. 🙈$5.5bn in savings planned but only $1bn this year. Divvy back… soon. Uncharted waters? 🛥️ https://t.co/blNG7rlsT3",23,63,571
HUN2R,https://x.com/HUN2R/status/1628522607145545728,"BREAKING: Layoffs have now hit The Guard as they lay off all of their content, social, talent, and creative teams 

Sources: myself lmao https://t.co/8YZS3kF3Ia",134,188,11168
sumitsaurabh,https://x.com/sumitsaurabh/status/1627187386584272896,"Massive respect for KL Rahul . He were in any private job , he would have been fired long time back in the layoffs ! 

But @BCCI has different type of love with him . 

What a waste he is . Burden on the whole country . https://t.co/Zuw9d8H2kT",349,935,6605
WallStreetSilv,https://x.com/WallStreetSilv/status/1629635047195127812,"Global housing prices with some regional exceptions are holding up, but sales volumes have collapsed. 

Soon the combined impact of $2 trillion student loan debt, epic housing collapse, stock market wipeout and mass layoffs will land on them like a ton of brick🚨

Ht: ZenSecondLife",182,920,4715
0xMert_,https://x.com/0xMert_/status/1628400571186118692,"This is gross

You wanna know how classless Sandeep is?

On the day he announces layoffs of 100 people - he celebrates a post about Solana Spaces shutting down and calling it a gimmick (presumably on his alt btw). He is the only like on this post 🤔

Truly shameless https://t.co/m74lau8p6J",37,36,282
JonLamArt,https://x.com/JonLamArt/status/1624226377959604225,"This is extremely important. Google is preparing to throw creators under the bus in favor of scraped content. Google's mass layoffs were only step 1
 Credit to https://t.co/yNc8PPOwdX
1/3 https://t.co/D62UGPxFTe",22,776,1995
SaraAMCstock,https://x.com/SaraAMCstock/status/1627743140688891904,"BLACKROCK ANNOUNCES MASS LAYOFF – $1.5 TRILLION IN ASSET LOSS #AMC 
https://t.co/CR5pSOi0p4""",59,186,833
FarwaterGG,https://x.com/FarwaterGG/status/1626642929023434752,"Today, I was informed I no longer have a position at Wisdom Gaming due to a company layoff.

If you know of anyone who is hiring for a social media/marketing/brand role, please send them my way. I'm closing on a house in a month and am looking to find a new role immediately. https://t.co/oZssnS7nYK",39,64,235
VicVijayakumar,https://x.com/VicVijayakumar/status/1628744526662705156,"Return to Office is largely a way to do layoffs without calling it that.

High performers / hard to hire roles almost always get exceptions.

I can’t tell you how many times a recruiter will contact me about a role that isn’t remote, I say I’m not going in, then this happens. https://t.co/v1pXF4G3vy",15,95,929
masonegger,https://x.com/masonegger/status/1626231150091046912,"I thought I was pissed about the @digitalocean layoff yesterday, but then I read the earnings call from this morning. Here's the highlights.

* Revenue grew 34% YOY last year🤔
* Approval to buy back 500 million stock
* Already bought back 600 million worth of stock last year",75,476,2938
saxena_puru,https://x.com/saxena_puru/status/1628580648754778112,"US mortgage applications have collapsed - 

- Lowest level of buyer demand in 28 YEARS 
- Lower than the depths of the 2008 housing crash 

Only a matter of time before real-estate layoffs explode! https://t.co/3JniyVIvVb",87,191,1001
Carnage4Life,https://x.com/Carnage4Life/status/1627816342588997635,"Life in big tech is all about coworkers with first world problems. Like this director whose net worth is $6.5M and was going to work there until worth $10M but is now considering quitting due to WFH mandates.

As I’ve mentioned before, WFH mandates are stealth layoffs. https://t.co/SMsH5avWl5",96,177,2681
HUN2R,https://x.com/HUN2R/status/1629201927954395136,"2 days ago everyone here got blindsided with a mass layoff at The Guard 

If you or someone you know are looking for hires, please consider checking out these 29 people. Resumes and Reels will be added as we go

I will be a reference for any of them, reach out https://t.co/EyPNn2geMq",10,282,2324
NDP,https://x.com/NDP/status/1625224821461098514,"The Rogers-Shaw merger will make our cell and internet bills more expensive.

It'll mean less competition. 

And more layoffs.

This move isn't good for Canadians — it'll only help telecoms firms already making huge profits.

We must stop the Rogers-Shaw merger. https://t.co/eFKm2xnrmb",160,133,578
growing_daniel,https://x.com/growing_daniel/status/1629153819266523137,Tech PMs are still making day in the life videos after the layoffs https://t.co/iUzlTJ1AEh,195,174,3792
DailyLoud,https://x.com/DailyLoud/status/1628648350257139714,Mark Zuckerberg plans to cut thousands of jobs in massive META layoff. https://t.co/aU1NtnsPs2,68,97,1502
TheAVClub,https://x.com/TheAVClub/status/1623475782403366912,"Disney announces Toy Story 5, Frozen 3, Zootopia 2, and 7,000 layoffs https://t.co/NkwqFuwSWv https://t.co/ROj1eVt7Ml",178,2343,13937
dalpattapaniya,https://x.com/dalpattapaniya/status/1628058624374480896,"50% of my previous design team at @0xPolygon has been part of recent layoff. 

If you’re looking for great designers, do connect me, I’ll introduce you.",66,42,333
WallStreetSilv,https://x.com/WallStreetSilv/status/1629635047195127812,"Global housing prices with some regional exceptions are holding up, but sales volumes have collapsed. 

Soon the combined impact of $2 trillion student loan debt, epic housing collapse, stock market wipeout and mass layoffs will land on them like a ton of brick🚨

Ht: ZenSecondLife",182,920,4715
sumitsaurabh,https://x.com/sumitsaurabh/status/1627187386584272896,"Massive respect for KL Rahul . He were in any private job , he would have been fired long time back in the layoffs ! 

But @BCCI has different type of love with him . 

What a waste he is . Burden on the whole country . https://t.co/Zuw9d8H2kT",349,935,6605
SeanODowd15,https://x.com/SeanODowd15/status/1628221306503151616,"Consulting is one of the highest profit margin businesses in the world

It did fairly well during the 2008-2009 Great Depression

Yet McKinsey is laying off about 2,000 employees

This layoff is, by far, the most significant one that has occurred recently",23,12,214
HUN2R,https://x.com/HUN2R/status/1628522607145545728,"BREAKING: Layoffs have now hit The Guard as they lay off all of their content, social, talent, and creative teams 

Sources: myself lmao https://t.co/8YZS3kF3Ia",134,188,11168
Gizmodo,https://x.com/Gizmodo/status/1630197325317517317,Elon Musk Lays Off Twitter Employee Who Slept on the Floor to Meet His Crazy Deadlines https://t.co/be02Yj13bn https://t.co/ovrrHTqaGs,37,58,205
rakshitbv,https://x.com/rakshitbv/status/1629454654257119232,"I was one of the people affected by the recent layoff at
@0xPolygon

After almost a year of working with the team, my time at the company has come to an end.",21,31,171
deepinthebuild,https://x.com/deepinthebuild/status/1616386262549827584,wow fuck me I just got laid off. Mass layoffs happening at Google apparently.,353,667,10256
alphaINTEL,https://x.com/alphaINTEL/status/1620889290288037889,"Breaking: Respawn’s single-player game set in the Apex Legends universe has been cancelled ❌

The game had not been officially announced. Devs working on it will be moved to other teams or laid off, according to Bloomberg. https://t.co/d3T5PiqErT",599,514,8109
SlimiHendrix,https://x.com/SlimiHendrix/status/1591100139380576257,"welp, just got laid off https://t.co/Jt1AdZWzVk",160,364,3440
digitallylee,https://x.com/digitallylee/status/1627727391824187397,"got laid off… so they sent me a celebratory package 🥹

anyways, here is my portfolio:
https://t.co/vaL6ECUp4B https://t.co/1SzLCKAn3C",5,6,21
odannyboy,https://x.com/odannyboy/status/1616463383804403715,"Google: 12000
Microsoft: 10000
Amazon: 18000
Meta: 11000
Twitter: 4000
Salesforce: 8000

200,000+ laid off in tech since the beginning of 2022. And for no reason other than ""everyone else is doing it"".

Tech workers need a union.",2216,10604,65611
michelletandler,https://x.com/michelletandler/status/1595149411033968640,"Imagine working for the city &amp; residents of San Francisco for 20 years... receiving recognition &amp; respect from all you encounter, and suddenly being laid off - for no reason other than the color of your skin. 

Well, that is what just happened to Elections Director John Arntz. https://t.co/yi3HXONOFm",656,1399,6116
whoisemvu,https://x.com/whoisemvu/status/1617957506533429248,"f*ck it, i was laid off from spotify 🥲",682,9360,154903
screentime,https://x.com/screentime/status/1589375582173016065,"Twitter is now asking some laid off employees to come back and work 

(via @CaseyNewton) https://t.co/fnodmKTvh4",403,962,20795
MattNavarra,https://x.com/MattNavarra/status/1589345067013378048,"CONFIRMED: Twitter is now asking some fired workers to please come back

- Some were laid off by mistake

- Some were let go before management realized their experience is needed to build new features Elon Musk is planning

FFS 😆 https://t.co/WKdtokWHoH",3129,17268,89898
lillysharples,https://x.com/lillysharples/status/1617523839138934785,The big tech engineers getting laid off should all work together to rewrite the ancient hospital and airline software systems,193,662,7694
2170cell,https://x.com/2170cell/status/1588204379961556992,I got laid off from Twitter this morning with no notice. I was the lead software engineer responsible for the feature where you catch a glimpse of a tweet and then the timeline refreshes,196,307,4896
stillgray,https://x.com/stillgray/status/1601955164499632128,"Washington Post journalist Taylor Lorenz claims that Elon Musk laid off the teams responsible for monitoring CSE. This claim is verifiably false. 

 https://t.co/qeaFULfINC",1198,1757,9844
WillOremus,https://x.com/WillOremus/status/1588336115031117824,"Here's the first official communication from Twitter's new leadership to its staff, a week after Musk took over: a fun game where you get to find out if you're laid off or not based by 9am tomorrow, based on whether the email pops up in your Twitter account or personal account. https://t.co/tpJsAkiaHp",608,1996,7434
MangaAlerts,https://x.com/MangaAlerts/status/1628160731442028544,"It's being reported that Crunchyroll has laid off Approximately 85 Employees Globally

- The report states this decision was not done to save costs, but to ""resolve redundant roles"" between Crunchyroll &amp; Funimation

Source: https://t.co/8qjYAXExzk https://t.co/8qzXefzeX4",20,36,167
GRDecter,https://x.com/GRDecter/status/1616431621863018497,"Good Morning Everyone! Layoffs announced YTD:

- Google: 12,000 (6% of workforce)
- Microsoft: 10,000 (5%)
- Salesforce: 8,000 (10%)
- Amazon: 8,000 (2%)
 
38,815 tech workers have been laid off in 2023 https://t.co/dN1RCD8Phe",324,928,2490
functi0nZer0,https://x.com/functi0nZer0/status/1585934376025657345,I was laid off by Twitter today. I’m an algorithmicist and psychological operations specialist looking to possibly transition into nation-state level disinformation broadcasting roles. Please DM me if you have any leads!,376,1027,14697
nypost,https://x.com/nypost/status/1586074825356976129,Pranksters posing as laid-off Twitter employees trick media outlets: 'Rahul Ligma' https://t.co/HKBRgBXgFi https://t.co/2sSjIxxOnB,246,1343,7363
RonFilipkowski,https://x.com/RonFilipkowski/status/1603514130266263552,Junior says the people just laid off at Washington Post are all Gen Z and Millennials who grew up spoiled rich kids who never had to survive in the real world and make it on their own. https://t.co/oWPTYuHdi4,7829,1245,11164
OhNoSheTwitnt,https://x.com/OhNoSheTwitnt/status/1598379164717187073,Now that Chris Cillizza has been laid off from CNN he’ll have more time to spend pursuing his passions. https://t.co/C31ZuL08PV,197,679,4810
_aishahfg,https://x.com/_aishahfg/status/1551927914714775553,I just got laid off from @Shopify in an email. And they took my slack access away immediately. I dropping my kid off so I don’t even know if I’ll have access to my computer.,243,455,4764
deepinthebuild,https://x.com/deepinthebuild/status/1616386262549827584,wow fuck me I just got laid off. Mass layoffs happening at Google apparently.,353,667,10255
GRDecter,https://x.com/GRDecter/status/1620853496433238016,"Layoffs will become more and more common

Companies realize they can do more with fewer employees https://t.co/SFUEZKakRH",408,638,3335
screentime,https://x.com/screentime/status/1588429697444360192,"Twitter is being sued for conducting mass layoffs without giving the required 60-day notice

(via @business) https://t.co/6f2nuQCUI7",424,4392,63450
WallStreetSilv,https://x.com/WallStreetSilv/status/1622721160172474368,"Uh Oh ...... 🔥🔥🔥

Does anyone really believe the jobs report last week with all of the layoffs being announced? https://t.co/ngBzl28ZvR",669,1420,6559
MIGHTYMaxBOXING,https://x.com/MIGHTYMaxBOXING/status/1574548248185929728,Anthony Joshua fought Usyk twice and was willing to fight Fury with only a 3 month layoff. Give this guy his credit. https://t.co/Ge9aAlS3M3,453,287,5700
GRDecter,https://x.com/GRDecter/status/1616431621863018497,"Good Morning Everyone! Layoffs announced YTD:

- Google: 12,000 (6% of workforce)
- Microsoft: 10,000 (5%)
- Salesforce: 8,000 (10%)
- Amazon: 8,000 (2%)
 
38,815 tech workers have been laid off in 2023 https://t.co/dN1RCD8Phe",324,928,2490
ryxcommar,https://x.com/ryxcommar/status/1588644363403497479,congrats to every Twitter employee who commits their entire venv/ for avoiding the layoffs. Elon needs allstars like you who can push 200k lines of code in a single merge. https://t.co/eG28CcEZ3Y,184,677,9769
JamesHillTV,https://x.com/JamesHillTV/status/1593418012555558912,Quitting your job in a recession because the CEO actually asked you to work hard is ridiculous. All of these tech layoffs &amp; twitter employees still acting like brats.,312,289,2063
WatcherGuru,https://x.com/WatcherGuru/status/1590088284897939456,JUST IN: Mark Zuckerberg confirms $META (Facebook) will begin mass layoffs tomorrow.,952,3828,24110
